# -*- mode:csv  -*-
DESCRIPCIÓN 	 COMANDO
-----------	 -------
evaluar una string	eval(parse(text = "mi string"))
abrir .sav (archivo spss)	#cf.: ./orggds/r-abrir-spss.org
Rcpp	#http://stackoverflow.com/questions/22798234/error-in-sourcecpp-after-installing-rtools
install package from source  	install.packages(path_to_file, repos = NULL, type="source", dependencies=TRUE)
list functions in package	ls(package:PACKAGE_NAME)
uninstal package	remove.packages('PACKAGE_NAME')
parsear fechas tipo 2015/02/14	as.Date(as.character(x[[1]]), format="%Y/%m/%d")
hallar raices de polinomio	polyroot(c(a0, a1, a2, ...))
reemplazar NAs de vector	x[is.na(x)] <- REEMPL
ordenar vector	v[order(v)]
ordenr dataframe por columna 1	d[order(d[1])]
change max width of print output	options(width=90)
unlock binding  	unlockBinding("VAR_NAME", ENVIROMEN)
assign in enviroment e  	assign(NAME, VALUE, envir=e)
add curve to plot
subset datya.frame	subset(x.df, Col1 > 1)
find source of internal or primitive function	grep FUN R/src/main/names.c
