# -*- mode:csv -*-
___  COMANDO   ___   	   ___DESCRIPCION___ 

M-S-RET	agregar TODO
C-c C-t	TODO a DONE
C-c C-s	poner fecha (Sheduled)
(setq org-support-shift-select nil)	deshabilitar shift-select en org
C-c }	dar referecias de frilas y columnas
M-x org-agenda	despliega menu con opciones de agenda
C-c C-e l l   (org-latex-export-to-latex)	Export as a LaTeX file
C-c C-e l L   (org-latex-export-as-latex)	Export to a temporary buffer. Do not create a file.
C-c C-e l p   (org-latex-export-to-pdf)	Export as LaTeX and then process to PDF.
C-c C-e l o	Export as LaTeX and then process to PDF, then open the resulting PDF file.
