# -*- mode:csv -*-
capitalize word	M-c
centrar, subir, bajar	M-r	(move-to-window-line-top-bottom)
evaluar e insertar	C-u C-x C-e
go to char	M-g c	Read a number n and move point to buffer position n. Position 1 is the beginning of the buffer.
go to column	M-g <TAB>	Read a number n and move to column n in the current line.
go to line	M-g M-g;M-g g	(goto-line)	Read a number n and move point to the beginning of line number n
help menu	C-h t
home; Inicio	M-<	(beginning-of-buffer);With numeric argument n	 move to n/10 of the way from the top.
insertar contenido de archivo	C-x i	(insert-file-contents myPath)
instalar paquetes	M-x list-packages
introducir caracteres UNICODE	C-x 8
lowercase region	 C-x C-l
lowercase word	 M-l
new line	C-q C-j
reemplazar TAB por SPACE	M-x replace-regex C-q C-i C-q C-j
tab	C-q C-i
tex formato fomula1	C-c C-q C-s
tex formato fomula2	C-c C-p C-s
uppercase region	 C-x C-u
uppercase word	 M-u
kill (delete) to EOF	C-k
kill to beggining of line	 M-0 C-k
delete word forward	M-d
delete word backward	M-delete
abrir ibuffer buffer	M-x ibuffer
insertar Unicode	C-x 8 <RET> CODE
insertar tildes	C-x 8 ' a
insertar ñ	C-x 8 ~ n
change encoding system	M-x set-buffer-file-coding-system
espacios en vez de tabs	M-x set-variable RET indent-tabs-mode (to nil)
set indentation with	set-variable RET tab-with NUMBER-OF-CHARS
REPL	M-x ielm
refresh buffer	C-x C-v
aspell change dictionary	M-x ispell-change-dictionary
check spell	M-x ispell
