# -*- mode:csv -*-
___  COMANDO   ___   	   ___DESCRIPCION___ 
M-S-RET	agregar TODO
M-x org-agenda,despliega menu con opciones de agenda
C-c C-t	TODO a DONE
C-c C-s	poner fecha (Sheduled)
(setq org-support-shift-select nil)	deshabilitar shift-select en org
C-c }	dar referecias de frilas y columnas
M-x org-agenda	despliega menu con opciones de agenda
C-c C-e l l   (org-latex-export-to-latex)	Export as a LaTeX file
C-c C-e l L   (org-latex-export-as-latex)	Export to a temporary buffer. Do not create a file.
C-c C-e l p   (org-latex-export-to-pdf)	Export as LaTeX and then process to PDF.
C-c C-e l o	Export as LaTeX and then process to PDF, then open the resulting PDF file.
#tablas
deshabilitar shift-select en org	(setq org-support-shift-select nil)	
tabldar referecias de filas y columnas	C-c }
insertar una columna	M-S-<right>
kill column	M-S-<left>
move column
M-<rigth> | M-<left>
update table (recalculate row)	C-c *
update table (recalculate table)	C-uc *
