# -*- mode:csv -*-
DESCRIPCION                     	|     COMANDO    
setear nombre de usuario	git config --global user.name "El nombre"
setear mail	git config --global user.email user@mail.com
setear editor de texto	git config --global core.editor vim
chequear los settings	git config --list
chequear un setting	git config user.name
iniciar repositorio en el presente dir	git init
clonar un repositorio existente	git clone [url]
ver status de archivos	git status
ver status 'short' de archivos	git status -s
ver lo que cambio pero no fue 'staged'	git diff
commitear los cambios	git commmit -m 'MENSAJE'
sacar archivos (remove) de git y de working dir	git rm archivo.txt
sacar archivos (remove) de git y no de working dir	git rm --cached archivo.txt
mostrar los remotos	git remote -v
agregar remotos	git remote add [shortname] [url]
traer informacion	git fetch [shortname]
enviar informacion	git push origin master
crear rama (branch)	git branch nombre
cambiarse a una rama (branch)	git checkout nombre
remove local branch	git branch -d the_local_branch
agregar submodulo	git submodule add URL
retroceder a un commit previo	git reset hard # agregar el commit al cual volver
revert uncommited changes to file or dir	git checkout -- FILE
get commit history	git log
unstage all files  staged with git add	git rese
revert all local uncommitted changes	git checkout .
delete remote branch	git push origin --delete <BRANCHNAME>
delete remote branch 2	git push origin :<BRANCHNAME>
delete local branch	git branch -d the_local_branch
git diff respect last commit file	git diff HEAD myfile
git diff respect last commit	git diff HEAD^ HEAD
diff between HEAD and other commit	git diff commit_id HEAD
diff (only filenames)	git diff --name-only HEAD~ HEAD
diff against remote	git diff origin/master
modificar remoto change remote url	git remote set-url https://...
diffs between local aand remote branch  git diff master origin/master
long paths long lines 	git config --system core.longpaths true
