# -*- mode:csv -*-
load source	:l 'archivo.hs'
cambiar prompt	:set prompt "ghci> "
define fucntion in shell	 let foo x = x + 1
concatenar listas	list1 ++ list2
cons	'element' : list
get element of list by index	list !! i -- i es un entero
first element in list	head list
cdr of list	tail list
last element of list	last list
lista sin su ultimo elemento	init list
is.null	null list
reverse	reverse list
n primeros elementos de lista	take n list
lista sin n primeros elementos	drop n list
maximo de una lista	maximum list
minimo de una lista	minimum list
producto de elementos de una lista	product list
check if element is in list	elem element list
hacer sucesion de i a n enteros	[i..n]
crear lista de elementos repetidos	replicate n t --  n number; t times
creal lista de elementos repetidso 2	take n (repeat t)
lista intensional	[x*2 | x <- [1..10], x*x < 12]
interactive shell on emacs	ghci-script-mode-load
division entera a / b	quot a b
resto de a / b	mod a b
compilar script	ghc script.hs
