               ACCION            ,
crear base de datos mi_base,create database mi_base;
list databases,show databases;
usar la base mi_base,use mi_base;
ver las tablas de base en uso,show tables;
ver columnas de una tabla,show columns from mi_tabla; | show fields from mi_tabla;
mas info sobre tablas,show table status like 'nombre' \G
ver comando con que se creo una tabla,show create table mi_tabla;
crear tabla,create table mi_tabla (col1 ...);
cambiar nombre de tabla,alter table ols_name rename new_name;
agregar columnas a una tabla,alter table mi_tabla add column col_name col_attr;
string column types,char; varchar; tinytext/tinyblob; text/blob; enum;
numeric column types,int; tinyint; mediumint; bigint; float; double/real; decimal/numeric
eliminar columnas,alter table mi_tabla drop column la_columna
cambiar definicion de columnas,alter table mi_table change old_col_name new_name sus_attr; 
agregar filas a tabla,insert into mi_tabla (text_col, int col, ...) values ('texto', 23, ...)


