# -*- mode:csv -*-
ACCION             	COMANDO 
iniciar python desde bash	pyhton
iniciar sympy desde pyhton	from sympy import *
usar funciones mathmaticas (math)	import math
comandos de os ('os.')	import os
cambiar directorio	os.chdir("PATH")
get current dir directorio actual	os.getcwd()
ejecutar script py2	execfile("PATH")
ejecutar script py3	exec(open("PATH").read())
derivar	x=symbols('x'); diff(3*x**3,x)
derivar ej2	x,y=symbols('x y'); diff((x-y)**(1/y), x)
get variables defined	dir() | globals() | locals()
decimal to binary	format(2, '08b')
apply function FOO() to elemnts in list	[ FOO(x) for x in LIST ]
lambda ej	(lambda x, y: x*y)(2,5)
create dictionary with 2 lists	d = dict(zip(keys, values))
install a package	python setup.py install
