# Abreviaturas y signos empleados
# Las abreviaturas escritas con mayúscula inicial aparecen siempre así en el Diccionario (p. ej., Burg., Fórm.). Las escritas con minúscula inicial, por el contrario, pueden aparecer escritas de este modo o con mayúscula («apóc.» / «Apóc.»).
# Las abreviaturas que desarrollan palabras con variación de género pueden sustituir tanto al masculino como al femenino (p. ej., «it.» puede equivaler a ‘italiano’ o a ‘italiana’).
# Toda abreviatura a la que se posponga una -s pasa a designar el mismo concepto, pero expresado en plural (p. ej., «exprs.» ‘expresiones’, «locs.» ‘locuciones’, etc.).,# Algunas formas abreviadas corresponden a dos desarrollos posibles (p. ej., «fr.», que puede significar ‘francés’ o ‘frase’), o bien, insertadas en secuencias diferentes —representadas en esta lista entre corchetes—, tienen sentidos distintos (p. ej., «t.» en «adv. t.» ‘adverbio de tiempo’ o en «u. t. c. s.» ‘usado también como sustantivo’). El contexto en que se presentan estas abreviaturas despeja cualquier duda acerca de su interpretación.N
# o se recogen, salvo contadísimas excepciones, abreviaturas y símbolos de uso general empleados en el Diccionario («etc.», «p. ej.», «km»...). Este tipo de abreviaciones se explica adecuadamente en la Ortografía publicada por la Real Academia Española.,a.,alto
Á. Andes,área de los Andes
abl.,ablativo
abrev.,abreviación
Á. Caribe,área del Caribe
acep.,acepción
acort.,acortamiento
acrón.,acrónimo
act.,activo
acus.,acusativo
Acús.,acústica
adapt.,adaptación
adj.,adjetivo
adv.,adverbio; adverbial
advers.,adversativo
Aer.,aeronáutica; astronáutica
afect.,afectivo
afér.,aféresis
afirm.,de afirmación
Agr.,agricultura
Á. Guar.,área guaranítica
aim.,aimara
al.,alemán
Ál.,Álava
Alb.,Albacete
Alic.,Alicante
Alm.,Almería
Alq.,alquimia
alterac.,alteración
alus.,alusión
Am.,América
amb.,ambiguo
Am. Cen.,América Central
amer.,americano
Am. Mer.,América Meridional
Anat.,anatomía
And.,Andalucía
ant.,antiguo; anticuado; antiguamente
Ant.,Antillas
antonom.,antonomasia
Antrop.,antropología
apl.,aplicado
apóc.,apócope
apos.,aposición
Ar.,Aragón
ár.,árabe
arag.,aragonés
Arg.,Argentina
Á. R. Plata,Área del Río de la Plata
Arq.,arquitectura
Arqueol.,arqueología
art.,artículo
ast.,asturiano
Ast.,Asturias
Astr.,astronomía; astrología
atóm.,atómico
aum.,aumentativo
aux.,auxiliar; verbo auxiliar
Áv.,Ávila
b.,bajo
Bad.,Badajoz
Bal.,Islas Baleares
Barc.,Barcelona
berb.,bereber
Bil.,Bilbao
Biol.,biología
Bioquím.,bioquímica
Bol.,Bolivia
Bot.,botánica
burg.,burgalés
Burg.,Burgos
c.,como
[adv.] c.,[adverbio de] cantidad
c,circa (‘en torno a la fecha que se indica’)
Các.,Cáceres
Cád.,Cádiz
Can.,Canarias
cant.,de cantidad
Cantb.,Cantabria
Carp.,carpintería
cast.,castellano
Cast.,Castilla
cat.,catalán
Cat.,Cataluña
celtolat.,celtolatino
cf.,cónfer (‘compárese - véase’)
cient.,científico
Cineg.,cinegética
Cinem.,cinematografía
clás.,clásico
C. Méx.,Ciudad de México
Col.,Colombia
colect.,colectivo
coloq.,coloquial
com.,nombre común en cuanto al género
Com.,comercio
comp.,comparativo
complet.,completivo
compos.,compositivo
conc.,concesivo
condic.,condicional
conj.,conjunción
conjug.,conjugación
conjunt.,conjuntivo
consec.,consecutivo
Constr.,construcción
contracc.,contracción
copulat.,copulativo
Córd.,Córdoba
correlat.,correlativo
C. Real,Ciudad Real
C. Rica,Costa Rica
Cronol.,cronología
Cuen.,Cuenca
cult.,culto
dat.,dativo
defect.,defectivo; verbo defectivo
deformac.,deformación
dem.,demostrativo
Dep.,deportes
der.,derivado
Der.,derecho
desc.,desconocido
despect.,despectivo
desus.,desusado
deter.,determinado
dialect.,dialectal
dim.,diminutivo
disc.,discutido
distrib.,distributivo
disyunt.,disyuntivo
Ecd.,ecdótica
Ecol.,ecología
Econ.,economía
Ecuad.,Ecuador
Electr.,electricidad; electrónica
elem.,elemento
El Salv.,El Salvador
Equit.,equitación
Esc.,escultura
escr.,escrito
Esgr.,esgrima
esp.,español
Esp.,España
Estad.,estadística
estud.,estudiantil
etim.,etimología
eufem.,eufemismo; eufemístico
eusk.,euskera
excl.,exclamativo
expr.,expresión; expresivo
ext.,extensión
Ext.,Extremadura
f.,femenino; nombre femenino
fest.,festivo
fig.,figurado
Fil.,filosofía
Filip.,Filipinas
Fís.,física
flam.,flamenco
Fon.,fonética; fonología
Fórm.,fórmula
Fotogr.,fotografía
fr.,francés
fr.,frase
frec.,frecuentativo
fut.,futuro
Gal.,Galicia
gall.,gallego
gall. port.,gallegoportugués
galolat.,galolatino
Gen.,genética
genit.,genitivo
Geogr.,geografía
Geol.,geología
Geom.,geometría
ger.,gerundio
germ.,germánico
germ.,germanía
gót.,gótico
gr.,griego
Gram.,gramática
Gran.,Granada
Gran Can.,Gran Canaria
grecolat.,grecolatino
Guad.,Guadalajara
guar.,guaraní
Guat.,Guatemala
Guin.,Guinea Ecuatorial
Guip.,Guipúzcoa
hebr.,hebreo
Heráld.,heráldica
hisp.,hispánico
Hist.,historia
Hond.,Honduras
Huel.,Huelva
Hues.,Huesca
ilat.,ilativo
imit.,imitativo
imper.,imperativo
imperf.,imperfecto
impers.,impersonal; verbo impersonal
Impr.,imprenta
inc.,incierto
incoat.,incoativo
indef.,indefinido
indet.,indeterminado
indic.,indicativo
infant.,infantil
infinit.,infinitivo
infl.,influido; influencia; influjo
Inform.,informática
Ingen.,ingeniería
ingl.,inglés
intens.,intensivo
interj.,interjección; interjectivo
interrog.,interrogativo
intr.,intransitivo; verbo intransitivo
inus.,inusual - inusitado
invar.,invariable
irl.,irlandés
irón.,irónico
irreg.,irregular
it.,italiano
jap.,japonés
jerg.,jerga; jergal
l.,de lugar
lat.,latín; latino
leng.,lenguaje
leon.,leonés
Lev.,Levante español
Ling.,lingüística
loc.,locución
m.,masculino; nombre masculino
[adv.] m.,[adverbio de] modo
[u.] m.,[usado] más
m. or.,mismo origen
Mad.,Madrid
Mál.,Málaga
malson.,malsonante
Man.,La Mancha
Mar.,marina
Mat.,matemáticas
may.,mayúscula
Mec.,mecánica
Med.,medicina
mediev.,medieval
metapl.,metaplasmo
metát.,metátesis
Meteor.,meteorología
Métr.,métrica
Méx.,México
Mil.,milicia
Mit.,mitología
mod.,moderno
Morf.,morfología
mozár.,mozárabe
Mur.,Murcia
Mús.,música
n.,neutro
n. cient.,nombre científico
n. p.,nombre propio
Náut.,náutica
Nav.,Navarra
neerl.,neerlandés
neg.,negación
negat.,negativo
Nic.,Nicaragua
nom.,nominativo
nórd.,nórdico
num.,numeral
núm.,número
Numism.,numismática
occid.; occid.,occidental
onomat.,onomatopeya; onomatopéyico
Ópt.,óptica
or.,origen
ord.,de orden
orient.; orient.,oriental
Ortogr.; Ortogr.,ortografía
Pal.,Palencia
Pan.,Panamá
Par.,Paraguay
part.,participio
pas.,pasivo
perf.,perfecto
pers.,persona
person.,personal
peyor.,peyorativo
Pint.,pintura
pl.,plural
poét.,poético
pop.,popular
port.,portugués
poses.,posesivo
pref.,prefijo
prep.,preposición
prepos.,preposicional
pres.,presente
pret.,pretérito
P. Rico,Puerto Rico
priv.,privativo
prnl.,pronominal; verbo pronominal
pron.,pronombre
pronom.,pronominal
prov.,provenzal
Psicol.,psicología
p. us.,poco usado
P. Vasco,País Vasco
Quím.,química
R. Dom.,República Dominicana
reg.,regular
[marca] reg.,[marca] registrada
regres.,regresivo
Rel.,religión
relat.,relativo
Ret.,retórica
rur.,rural
s.,sustantivo
Sal.,Salamanca
sánscr.,sánscrito
Seg.,Segovia
sent.,sentido
Sev.,Sevilla
Símb.,símbolo
sínc.,síncopa
sing.,singular
Sociol.,sociología
Sor.,Soria
subj.,subjuntivo
suf.,sufijo
sup.,superlativo
sust.,sustantivo
t.,terminación
[adv.] t.,[adverbio de] tiempo
[conj.] t.,[conjunción] temporal
[u.] t.,[usado] también
Taurom.,tauromaquia
Tecnol.,tecnologías
Telec.,telecomunicación
Ter.,Teruel
term.,terminación
Tol.,Toledo
Topogr.,topografía
tr.,transitivo; verbo transitivo
trad.,traducción
Transp.,transportes
TV.,televisión
u.,usado
Ur.,Uruguay
v.,véase
Val.,Valencia
Vall.,Valladolid
var.,variante
Ven.,Venezuela
Veter.,veterinaria
vi.,verbo intransitivo
Vizc.,Vizcaya
vocat.,vocativo
vtr.,verbo transitivo
vulg.,vulgar
Zam.,Zamora
Zar.,Zaragoza
Zool.,zoología
*,Forma hipotética
~,Signo de palabra #(v. Advertencias para el uso de este Diccionario, § 3.4)
□,Envío a una forma compleja de otro artículo #(v. Advertencias para el uso de este Diccionario, §§ 4.5, 5.5)
¶,Señal que indica el alcance de una nota de información #(v. Advertencias para el uso de este Diccionario, § 6.5)
||,Separación de bloques del artículo # (v. Advertencias para el uso de este Diccionario, §§ 4.4, 5.4)
||,Separación de acepciones del mismo bloque # (v. Advertencias para el uso de este Diccionario, §§ 4.3, 5.3)
(|| ),Remisión a una acepción de otro artículo # (v. Advertencias para el uso de este Diccionario, § 6.2.2)
